,ID,x
0,pc1906,712.3
1,pc0302,70.44
2,pc2518,3.66
3,pc0210,0.2
4,pc0246,5.6
5,pc0233,2.6
6,pc0292,2.65
7,pc0239,1.25
8,pc0242,2.1
9,pb0768, 
10,pb0311,7.8
11,pc0199,3.4
12,pb0337,5.25
13,pc0247,3.9
14,pc0250,30.5
15,pc2519,0.11
16,pb0484,1.09
17,pb4713,3.25
18,pc0230,0.9
19,pc0244,1.0
20,pb0761,3.45
21,pc0243,1.35
22,pb0498, 
23,pc0241,4.4
24,pc0236,0.35
25,pc0240,29.55
26,pc2512,127.43
27,pb0299,0.48
28,pc0226,0.7
29,pc0232,0.3
30,pc2758,0.62
31,pa1946,1.83
32,pc1902,1.38
33,pc0204,0.62
34,pc0220,1.2
35,pc0248,0.25
36,pc0231,1.8
37,pc0214,89.95
38,pc0201,57.63
39,pc0203,18.53
40,pb0292,1.3
41,pc0212,10.25
42,pc2752,1.95
43,pc0224,3.1
44,pb0282,2.55
45,pb0277,3.0
46,pc0211,0.1
47,pc0215,1.2
48,pc0218,16.45
49,pb0298,2.9
50,pc0206,0.4
51,pc1913,1.25
52,pc0221,0.05
53,z1765,1.46
54,pc0223,9.19
55,pc0182,2.3
56,pc0179,3.5
57,pc2755,1.46
58,pb0346,1.44
59,pc0176,0.4
60,pc0253,0.2
61,pc0180,3.0
62,pc0279,2.03
63,pb0326,1.12
64,pc0283,0.66
65,pb0349,16.64
66,pc2753,9.87
67,pb3886,1.53
68,pc0195,1.25
69,pc0178,0.95
70,pc0192,0.8
71,pc0194,6.9
72,pc2774, 
73,pc1925,1.42
74,pb2337,13.02
75,pb0345,23.3
76,pb0395,0.55
77,pb0394,2.7
78,pb0330, 
79,pc0830,2.65
80,pb0316,0.45
81,pc0196,0.7
82,pa0999,0.65
83,pb0396,0.55
84,pb4306,7.9
85,pc0190,2.8
86,pc0189,0.35
87,pb3889,0.9
88,pc0200,0.1
89,pc0172,1.1
90,pc0160,0.05
