Face,Side,Under,Top,Plant No,Red,Yellow,Venation,Scorer,Comments,,,,,,,,
P05295991,P05295992,P05295993,P05295994,PB0128,2,1,4,Sean,petals torn,,,,,,,,
P05295995,P05295996,P05295997,P05295998,PA2514,0.5,1,1,Sean,,,,,,,,,
P05295999,P05296000,P05296001,P05296002,PB0231,2,2,2,Sean,,,,,,,,,
P05296003,P05296004,P05296005,P05296006,PB0265,4,1,3.5,Sean,,,,,,,,,
P05296007,P05296008,P05296009,P05296010,PB0108,2,1,1.5,Sean,,,,,,,,,
P05296011,P05296012,P05296013,P05296014,PB0166,2,0.5,2.5,Sean,,,,,,,,,
P05296015,P05296016,P05296017,P05296018,PA0323,4,1.5,3.5,Sean,,,,,,,,,
P05316019,P05316020,P05316021,P05316022,PB0086,0.5,1,1,Sean,,,,,,,,,
P05316023,P05316024,P05316025,P05316026,PB0122,0.5,0.5,2,Sean,,,,,,,,,
P06016028,P06016029,P06016030,P06016031,pB0836,4,1,3.5,"Sean, Helena, PS",,,,,,,,,
P06016032,P06016033,P06016034,P06016035,pB0844,3.5,1,3.5,"Sean, Helena, PS",,,,,,,,,
P06016036,P06016037,P06016038,P06016039,pB0825,3.5,0.5,3.5,"Sean, Helena, PS",,,,,,,,,
P06016040,P06016041,P06016042,P06016043,pB0819,3,1,3.5,"Sean, Helena, PS",,,,,,,,,
P06016044,P06016045,P06016046,P06016047,pB0810,4,0.5,3.5,"Sean, Helena, PS",,,,,,,,,
P06016048,P06016049,P06016050,P06016051,pB0814,4,0.5,3.5,"Sean, Helena, PS",,,,,,,,,
P06016052,P06016053,P06016054,P06016055,pB0832,3.5,0.5,3.5,"Sean, Helena, PS",,,,,,,,,
P06016056,P06016057,P06016058,P06016059,pB0846,1.5,1,2.5,"Sean, Helena, PS",,,,,,,,,
P06016060,P06016061,P06016062,P06016063,pB0817,4,0.5,3.5,"Sean, Helena, PS",,,,,,,,,
P06016064,P06016065,P06016066,P06016067,pB0358,2,1,2.5,"Sean, Helena, PS",,,,,,,,,
P06016068,P06016069,P06016070,P06016071,pB0162,4,1,3.5,"Sean, Helena, PS",,,,,,,,,
P06016072,P06016073,P06016074,P06016075,Z0573,3.5,1.5,4,"Sean, Helena, PS",,,,,,,,,
P06016076,P06016077,P06016078,P06016079,pB0285,1.5,1,2.5,"Sean, Helena, PS",,,,,,,,,
P06016080,P06016081,P06016082,P06016083,pB0461,0.5,2,2.5,"Sean, Helena, PS",,,,,,,,,
P06016084,P06016085,P06016086,P06016087,pB0140,1.5,1,2.5,"Sean, Helena, PS",,,,,,,,,
P06016088,P06016089,P06016090,P06016091,pB0284,4,0.5,3.5,"Sean, Helena, PS",,,,,,,,,
P06016092,P06016093,P06016094,P06016095,pB0301,3,1,3.5,"Sean, Helena, PS",,,,,,,,,
P06016096,P06016097,P06016098,P06016099,pB0393,4,0.5,3.5,"Sean, Helena, PS",,,,,,,,,
P06016100,P06016101,P06016102,P06016103,pB0177,0.5,2,2,"Sean, Helena, PS",,,,,,,,,
P06016104,P06016105,P06016106,P06016107,pA2417,4,1,3.5,"Sean, Helena, PS",,,,,,,,,
P06016108,P06016109,P06016110,P06016111,pB0169,2,1,3.5,"Sean, Helena, PS",,,,,,,,,
P06016112,P06016113,P06016114,P06016115,pB0107,1,2.5,1.5,"Sean, Helena, PS",,,,,,,,,
P06016116,P06016117,P06016118,P06016119,pA0299,4,1,3,"Sean, Helena, PS",,,,,,,,,
P06016120,P06016121,P06016122,P06016123,pB0044,3.5,1,3,"Sean, Helena, PS",,,,,,,,,
P06026126,P06026127,P06026129,P06026128,pB0834,3.5,1,3,"Sean, Helena, PS",,,,,,,,,
P06026130,P06026131,P06026132,P06026133,pB0838,4,1,4,"Sean, Helena, PS",,,,,,,,,
P06026134,P06026135,P06026136,P06026137,pB0821,4,1,3.5,"Sean, Helena, PS",face damaged,,,,,,,,
