,ID,X,Y,H
0,pc0116,481.85,1.22,0.7
1,pc0302,782.74,-7.88,-0.6
2,pc0843,104.0,-9.0,-0.4
3,pc0082,475.4,1.15,0.28
4,pc0066,285.5,2.16,2.12
5,pc0085,455.3,1.2,0.92
6,pc0191,904.6,1.04,0.5
7,pc0037,246.65,1.64,1.48
8,pc0095,480.1,1.55,1.33
9,pc0184,825.05,1.67,0.66
10,pb0492,855.83,0.83,0.0
11,pb0117,459.6,1.24,1.5
12,pc0018,139.1,2.4,1.89
13,pc0219,913.45,0.97,0.48
14,pc0323,798.77,2.66,4.6
15,pc1913,916.35,1.75,1.8
16,pc0306,319.2,-7.8,-1.13
17,pb0399,815.95,2.53,2.48
18,pc0135,590.95,1.18,0.63
19,pc0040,322.1,2.4,2.22
20,pc0263,-131.6,89.73612512,16.10165909
21,pc0267,-130.53,90.33925108,14.24886544
22,pc0287,444.65,-9.82,-1.94
23,pc0158,648.65,1.93,2.69
24,pc0132,598.85,1.23,0.9
25,pc2519,843.96,-8.53,-0.4
26,pc0829,546.0,2.85,2.5
27,pb0134,461.4,1.77,2.8
28,pc0103,500.55,1.24,2.03
29,pc0833,133.02,0.85,0.05
30,pc0038,226.15,1.96,1.73
