,ID
0,pc0145
1,pc0141
2,pc0063
3,pc0321
4,pc0041
5,pc0205
6,pc0058
7,pc0269
8,pc0209
9,pc1903
10,pc0313
11,pc0011
12,pc0008
13,z1259
14,pc0115
15,pc0293
16,pc0161
17,pc0163
18,pc0266
19,pc0139
20,pc0074
21,pc0181
22,pc0076
23,pc0213
24,pb0049
25,pb0111
26,pc0010
27,pc0124
28,pc0187
29,pc0188
30,pc1904
31,pc0086
32,pc0227
33,pc0225
34,pc0222
35,pc0174
36,pc0105
37,pc0198
38,pc0068
39,y1916
40,pb0493
41,pc0234
42,pc0029
43,pc0017
44,pc0030
45,pc0277
46,pc0119
47,pc0260
48,pc0055
49,pc0128
50,pc0087
51,pa2393
52,pc0138
53,pc0286
54,pc1920
55,pc0252
56,pc0207
57,pc0208
58,pb0275
59,pc0060
60,pc0096
61,pc0245
62,pc0168
63,pc0028
64,pc2521
65,pc0148
66,pc0121
67,pc0307
68,pc0050
69,pc0291
70,pc0290
71,pc0021
72,pc0137
73,pc0295
74,pc0100
75,pb4573
76,pc0296
77,pc0274
78,pc0149
79,pc0167
80,pc0093
81,pc0324
82,pb0361
83,pc0238
84,pc0083
85,pc0024
86,pc0270
87,pc0091
88,pc0195
89,pb0120
90,pc0107
91,pc0197
92,pc0193
93,pc0164
94,pb0119
95,pc0301
96,pc2766
97,pc0130
98,pc0069
99,pb0018
100,pc0216
101,pc0126
102,pc0157
103,pc0056
104,pc0173
105,pc0177
106,pc0081
107,pc0273
108,pc0088
109,pc0186
110,pc0043
111,pc0316
112,pc0322
113,pc0254
114,pc0001
115,pc0170
116,pc0185
117,z1165
118,pc0147
