pc,Side,Under,Top,Plant No,Red,Yellow,Venation,Scorer,Comments,,,,,,,,,,,,,,,,
P05252126,P05252127,P05252128,P05252129,pC0034,0.5,1,3,Sean,,,,,,,,,,,,,,,,,
P05252130,P05252131,P05252132,P05252133,pB0241,1.5,1.5,2,Tetiana,,,,,,,,,,,,,,,,,
P05252134,P05252135,P05252136,P05252137,pC0053,1.5,2.5,1.5,Tetiana,,,,,,,,,,,,,,,,,
P05252138,P05252139,P05252140,P05252141,pC0154,3,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P05252142,P05252143,P05252144,P05252145,pC0014,3,2.5,3.5,Tetiana,,,,,,,,,,,,,,,,,
P05252146,P05252147,P05252148,P05252149,pC0012,3,2.5,3,Tetiana,,,,,,,,,,,,,,,,,
P05252150,P05252151,P05252152,P05252153,pC0005,1.5,2.5,3,Tetiana,,,,,,,,,,,,,,,,,
P05252154,P05252155,P05252156,P05252157,pC0166,1,2.5,3,Tetiana,,,,,,,,,,,,,,,,,
P05252158,P05252159,P05252160,P05252161,pC0023,3,2.5,1,Tetiana,,,,,,,,,,,,,,,,,
P05252162,P05252163,P05252164,P05252165,pC0199,3.5,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P05252166,P05252167,P05252168,P05252169,pC0284,0.5,2.5,3,Tetiana,,,,,,,,,,,,,,,,,
P05252170,P05252171,P05252172,P05252173,pC0202,4,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P05252174,P05252175,P05252176,P05252177,pC0005,3,2.5,3.5,Tetiana,,,,,,,,,,,,,,,,,
P05252178,P05252179,P05252180,P05252181,pC0114,1.5,1,3,Tetiana,,,,,,,,,,,,,,,,,
P05252182,P05252183,P05252184,P05252185,pC0111,2,1,1,Tetiana,,,,,,,,,,,,,,,,,
P05252186,P05252187,P05252188,P05252189,pC0268,1.5,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P05252190,P05252191,P05252192,P05252193,pC0094,0.5,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P05252194,P05252195,P05252196,P05252197,pA0341,0.5,2.5,1,Tetiana,,,,,,,,,,,,,,,,,
P05252198,P05252199,P05252200,P05252201,pC0242,3.5,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P05252202,P05252203,P05252204,P05252205,pC0092,1,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P05252206,P05252207,P05252208,P05252209,pC0251,3,2.5,3,Tetiana,,,,,,,,,,,,,,,,,
P05252210,P05252211,P05252212,P05252213,pC0025,2.5,1.5,4,Tetiana,FLOWER DAMAGED,,,,,,,,,,,,,,,,
P05252214,P05252215,P05252216,P05252217,pC0112,4,1,1,Tetiana,,,,,,,,,,,,,,,,,
P05252218,P05252219,P05252220,P05252221,pC0282,2,1,1.5,Tetiana,,,,,,,,,,,,,,,,,
P05252222,P05252223,P05252224,P05252225,pC0233,2,1,1,Tetiana,,,,,,,,,,,,,,,,,
P05252226,P05252227,P05252228,P05252229,pC0399,4,1,3.5,Tetiana,FLOWER DAMAGED,,,,,,,,,,,,,,,,
P05312230,P05312231,P05312232,P05312233,pC0033,2,2.5,3,Parvathy,,,,,,,,,,,,,,,,,
P05312234,P05312235,P05312236,P05312237,pC0064,4,1,3.5,Parvathy,,,,,,,,,,,,,,,,,
P05312238,P05312239,P05312240,P05312241,pC0278,0.5,2.5,1,Parvathy,,,,,,,,,,,,,,,,,
P05312242,P05312243,P05312244,P05312245,pB0070,0.5,2.5,2,Parvathy,FLOWER DAMAGED,,,,,,,,,,,,,,,,
P05312246,P05312247,P05312248,P05312249,pC0292,2,2.5,3,Parvathy,,,,,,,,,,,,,,,,,
P05312250,P05312251,P05312252,P05312253,pC0003,0.5,1.5,2.5,Parvathy,,,,,,,,,,,,,,,,,
P05312254,P05312255,P05312256,P05312257,pC0236,4,1,3,Parvathy,,,,,,,,,,,,,,,,,
P05312258,P05312259,P05312260,P05312261,pC0022,1,2.5,1.5,Parvathy,,,,,,,,,,,,,,,,,
P05312262,P05312263,P05312264,P05312265,pC0183,4,2.5,3.5,Parvathy,,,,,,,,,,,,,,,,,
P05312266,P05312267,P05312268,P05312269,pB4329,0.5,1.5,2.5,Parvathy,,,,,,,,,,,,,,,,,
P05312270,P05312271,P05312272,P05312273,pC0261,0.5,2.5,2.5,Parvathy,,,,,,,,,,,,,,,,,
P05312274,P05312275,P05312276,P05312277,pC0110,1,2.5,2,Parvathy,,,,,,,,,,,,,,,,,
P05312278,P05312279,P05312280,P05312281,pC0246,4,1,3,Parvathy,FLOWER DAMAGED,,,,,,,,,,,,,,,,
P05312282,P05312283,P05312284,P05312285,pC0221,3.5,1,3.5,Parvathy,FLOWER DAMAGED,,,,,,,,,,,,,,,,
P05312286,P05312287,P05312288,P05312289,pC0104,3.5,0.5,3.5,Parvathy,,,,,,,,,,,,,,,,,
P05312290,P05312291,P05312292,P05312293,pC0230,2.5,1,4,Parvathy,,,,,,,,,,,,,,,,,
P05312294,P05312295,P05312296,P05312297,pC0125,2,1,3.5,Parvathy,,,,,,,,,,,,,,,,,
P05312298,P05312299,P05312300,P05312301,pB0761,3,1,NA,Parvathy,OLD FLOWER,,,,,,,,,,,,,,,,
P05312302,P05312303,P05312304,P05312305,pC0067,0.5,1,1.5,Parvathy,,,,,,,,,,,,,,,,,
P05312306,P05312307,P05312308,P05312309,pC0151,3.5,1,1,Parvathy,,,,,,,,,,,,,,,,,
P05312310,P05312311,P05312312,P05312313,pC0231,3.5,1,3.5,Parvathy,,,,,,,,,,,,,,,,,
P05312314,P05312315,P05312316,P05312317,pC0061,0.5,1.5,3,Parvathy,,,,,,,,,,,,,,,,,
P05312318,P05312319,P05312320,P05312321,pC0218,3.5,1,3,Parvathy,,,,,,,,,,,,,,,,,
P05312322,P05312323,P05312324,P05312325,pC0233,3,1,2,Parvathy,LIGHTLY DAMAGED,,,,,,,,,,,,,,,,
P05312326,P05312327,P05312328,P05312329,pC0048,1.5,2.5,3,Parvathy,,,,,,,,,,,,,,,,,
P05312330,P05312331,P05312332,P05312333,pC0201,3.5,1,3.5,Parvathy,,,,,,,,,,,,,,,,,
P05312334,P05312335,P05312336,P05312337,pB4713,4,0.5,3.5,Parvathy,,,,,,,,,,,,,,,,,
P05312338,P05312339,P05312340,P05312341,pC0117,1,2.5,1,Parvathy,,,,,,,,,,,,,,,,,
P05312342,P05312343,P05312344,P05312345,pC0249,4,1,3.5,Parvathy,,,,,,,,,,,,,,,,,
P05312346,P05312347,P05312348,P05312349,pC0244,0.5,3,1,Parvathy,,,,,,,,,,,,,,,,,
P05312350,P05312351,P05312352,P05312353,pC0212,3.5,1,3.5,Parvathy,,,,,,,,,,,,,,,,,
P05312354,P05312355,P05312356,P05312357,pC0224,3,1,3.5,Parvathy,OLD FLOWER,,,,,,,,,,,,,,,,
P05312358,P05312359,P05312360,P05312361,pC0262,3.5,2.5,3.5,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312362,P05312363,P05312364,P05312365,pC0054,1.5,1.5,2,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312366,P05312367,P05312368,P05312369,pC0259,0.5,2.5,2,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312370,P05312371,P05312372,P05312373,pC0019,0.5,3,3.5,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312374,P05312375,P05312376,P05312377,pB0413,0.5,3,1,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312378,P05312379,P05312380,P05312381,pB0459,3.5,2.5,3.5,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312382,P05312383,P05312384,P05312385,pC0255,0.5,2.5,1,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312386,P05312387,P05312388,P05312389,pC0258,0.5,1,1.5,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312390,P05312391,P05312392,P05312393,pB0416,2,1.5,1.5,Parvathy and Arka,damaged,,,,,,,,,,,,,,,,
P05312394,P05312395,P05312396,P05312397,pB0392,1,1.5,2.5,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312398,P05312399,P05312400,P05312401,pB0445,0.5,3,1,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312402,P05312403,P05312404,P05312405,pC0265,0.5,1.5,3.5,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312406,P05312407,P05312408,P05312409,pC0099,1,3,1.5,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312410,P05312411,P05312412,P05312413,pC0052,0.5,2.5,1,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312414,P05312415,P05312416,P05312417,pC0006,3,2.5,3,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312418,P05312419,P05312420,P05312421,pB0424,0.5,3,1,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312422,P05312423,P05312424,P05312425,pC0150,3,1,3.5,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312426,P05312427,P05312428,P05312429,pB0453,1.5,1,3.5,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312430,P05312431,P05312432,P05312433,pC0271,2,2.5,3,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312434,P05312435,P05312436,P05312437,pC0097,1.5,0.5,4,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312438,P05312439,P05312440,P05312441,pC0035,1.5,2,1,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312442,P05312443,P05312444,P05312445,pB0043,2,1,0.5,Parvathy and Arka,damaged,,,,,,,,,,,,,,,,
P05312446,P05312447,P05312448,P05312449,pC0015,0.5,2.5,2.5,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312450,P05312451,P05312452,P05312453,pB0789,1,2.5,2.5,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312454,P05312455,P05312456,P05312457,pC0146,4,2,3.5,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312458,P05312459,P05312460,P05312461,pC0027,2,2,1,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312462,P05312463,P05312464,P05312465,pC0070,1.5,1.5,3,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312466,P05312467,P05312468,P05312469,pC0057,3,1,3,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312470,P05312471,P05312472,P05312473,pC0031,2,2.5,3.5,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312474,P05312475,P05312476,P05312477,pC0004,1,2.5,2.5,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312478,P05312479,P05312480,P05312481,pC0009,2,2.5,1,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312482,P05312483,P05312484,P05312485,pC0046,1.5,1,3.5,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312486,P05312487,P05312488,P05312489,pC0108,0.5,2.5,2.5,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312490,P05312491,P05312492,P05312493,pC0036,0.5,1,2.5,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312494,P05312495,P05312496,P05312497,pC0297,1.5,0.5,2,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312498,P05312499,P05312500,P05312501,pC0253,3,1,3,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312502,P05312503,P05312504,P05312505,pC0013,0.5,2.5,1,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312506,P05312507,P05312508,P05312509,pC0049,0.5,3,3,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312510,P05312511,P05312512,P05312513,pB0066,3.5,1,3.5,Parvathy and Arka,damaged,,,,,,,,,,,,,,,,
P05312514,P05312515,P05312516,P05312517,pC0059,2,1,1.5,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312518,P05312519,P05312520,P05312521,pC0084,2,1,1,Parvathy and Arka,OLD FLOWER,,,,,,,,,,,,,,,,
P05312522,P05312523,P05312524,P05312525,pB0022,3,1,3.5,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312526,P05312527,P05312528,P05312529,pC0117,1.5,2.5,1,Parvathy and Arka,,,,,,,,,,,,,,,,,
P05312530,P05312531,P05312532,P05312533,pC0077,1.5,1,2,Parvathy and Arka,damaged,,,,,,,,,,,,,,,,
P05312534,P05312535,P05312536,P05312537,pC0089,0.5,2.5,1.5,Parvathy and Arka,damaged,,,,,,,,,,,,,,,,
P05312538,P05312539,P05312540,P05312541,pC0314,3.5,2.5,3.5,Parvathy and Arka,,,,,,,,,,,,,,,,,
P06012542,P06012543,P06012544,P06012545,pC0303,0.5,2.5,2.5,Parvathy,,,,,,,,,,,,,,,,,
P06012546,P06012547,P06012548,P06012549,pC0356,4,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06012550,P06012551,P06012552,P06012553,pC0360,3.5,0.5,3,Tetiana,A BIT DAMAGED,,,,,,,,,,,,,,,,
P06012554,P06012555,P06012556,P06012557,pC0355,4,0.5,4,Tetiana,,,,,,,,,,,,,,,,,
P06012558,P06012559,P06012560,P06012561,pC0343,3,0.5,0.5,Tetiana,,,,,,,,,,,,,,,,,
P06012562,P06012563,P06012564,P06012565,pC0354,3.5,0.5,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06012566,P06012567,P06012568,P06012569,pC0370,3.5,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06012570,P06012571,P06012572,P06012573,pC0359,3.5,0.5,3,Tetiana,OLD FLOWER,,,,,,,,,,,,,,,,
P06012574,P06012575,P06012576,P06012577,pC0351,3.5,1,0.5,Tetiana,A BIT OLD,,,,,,,,,,,,,,,,
P06012578,P06012579,P06012580,P06012581,pC0346,4,1,3,Tetiana,A BIT OLD,,,,,,,,,,,,,,,,
P06012582,P06012583,P06012584,P06012585,pC0348,3.5,1,3,Tetiana,Damaged flower,,,,,,,,,,,,,,,,
P06012586,P06012587,P06012588,P06012589,pC0349,3,1,3.5,Tetiana,old and damaged,,,,,,,,,,,,,,,,
P06012590,P06012591,P06012592,P06012593,pC0344,3.5,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06012594,P06012595,P06012596,P06012597,pC0347,3.5,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06012598,P06012599,P06012600,P06012601,pC0362,3.5,1,3.5,Tetiana,Damaged flower,,,,,,,,,,,,,,,,
P06012602,P06012603,P06012604,P06012605,pC0363,3.5,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06012606,P06012607,P06012608,P06012609,pC0353,3.5,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06012610,P06012611,P06012612,P06012613,pC0341,3.5,1,4,Tetiana,"Damaged flower, veNAtion 3.5-4?",,,,,,,,,,,,,,,,
P06012614,P06012615,P06012616,P06012617,pC0372,4,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06012618,P06012619,P06012620,P06012621,pC0365,3.5,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06012622,P06012623,P06012624,P06012625,pC0399,4,1,3.5,Tetiana,"Damaged flower, veNAtion 3-4",,,,,,,,,,,,,,,,
P06012626,P06012627,P06012628,P06012629,pC0369,3.5,1,3,Tetiana,Old flower,,,,,,,,,,,,,,,,
P06012630,P06012631,P06012632,P06012633,pC0374,4,1,3.5,Tetiana,dmaged flower,,,,,,,,,,,,,,,,
P06012634,P06012635,P06012636,P06012637,pC0361,3.5,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06012638,P06012639,P06012640,P06012641,pC0377,3.5,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06012642,P06012643,P06012644,P06012645,pC0400,3.5,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06012646,P06012647,P06012648,P06012649,pC0364,3.5,1,3.5,Tetiana,a bit old and damaged,,,,,,,,,,,,,,,,
P06012650,P06012651,P06012652,P06012653,pC0358,3.5,1,0.5,Tetiana,a bit old and damaged,,,,,,,,,,,,,,,,
P06012654,P06012655,P06012656,P06012657,pC0397,3.5,2.5,2.5,Tetiana,"damaged flower, veNAtion 2.5-3?",,,,,,,,,,,,,,,,
P06012658,P06012659,P06012660,P06012661,pC0378,3,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06012662,P06012663,P06012664,P06012665,pC0396,3.5,1,3,Tetiana,a bit old,,,,,,,,,,,,,,,,
P06012666,P06012667,P06012668,P06012669,pC0373,3.5,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06012670,P06012671,P06012672,P06012673,pC0382,4,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06012674,P06012675,P06012676,P06012677,pC0395,3.5,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06012678,P06012679,P06012680,P06012681,pC0388,3.5,0.5,3,Tetiana,,,,,,,,,,,,,,,,,
P06012682,P06012683,P06012684,P06012685,pC0398,3.5,2.5,0.5,Tetiana,,,,,,,,,,,,,,,,,
P06012686,P06012687,P06012688,P06012689,pC0371,4,0.5,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06012690,P06012691,P06012692,P06012693,pC0384,3.5,1,0.5,Tetiana,,,,,,,,,,,,,,,,,
P06012694,P06012695,P06012696,P06012697,pC0381,3.5,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06012698,P06012699,P06012700,P06012701,pC0380,3,1,3,Tetiana,old and damaged,,,,,,,,,,,,,,,,
P06012702,P06012703,P06012704,P06012705,pC0383,1.5,1,1.5,Tetiana,old and damaged,,,,,,,,,,,,,,,,
P06012706,P06012707,P06012708,P06012709,pC0385,4,0.5,3,Tetiana,,,,,,,,,,,,,,,,,
P06012710,P06012711,P06012712,P06012713,pC0352,4,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06012714,P06012715,P06012716,P06012717,pC0367,3.5,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06012718,P06012719,P06012720,P06012721,pC0357,3.5,0.5,3,Tetiana,,,,,,,,,,,,,,,,,
P06012722,P06012723,P06012724,P06012725,pC0333,3.5,0.5,3.5,Tetiana,damaged flower,,,,,,,,,,,,,,,,
P06012726,P06012727,P06012728,P06012729,pC0329,3.5,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06012730,P06012731,P06012732,P06012733,pC0331,3,1,3,Tetiana,damaged flower,,,,,,,,,,,,,,,,
P06012734,P06012735,P06012736,P06012737,pC0394,3,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06012738,P06012739,P06012740,P06012741,pC0336,3.5,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06012742,P06012743,P06012744,P06012745,pC0393,4,1,4,Tetiana,,,,,,,,,,,,,,,,,
P06012746,P06012747,P06012748,P06012749,pC0379,2,1,1,Tetiana,,,,,,,,,,,,,,,,,
P06012750,P06012751,P06012752,P06012753,pC0391,3,1,3,Tetiana,damaged flower,,,,,,,,,,,,,,,,
P06012754,P06012755,P06012756,P06012757,pC0386,4,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06012758,P06012759,P06012760,P06012761,pC0332,3.5,1,4,Tetiana,,,,,,,,,,,,,,,,,
P06012762,P06012763,P06012764,P06012765,pC0392,3.5,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06012766,P06012767,P06012768,P06012769,pC0389,3.5,0.5,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06012770,P06012771,P06012772,P06012773,pC0340,3.5,1,4,Tetiana,,,,,,,,,,,,,,,,,
P06012774,P06012775,P06012776,P06012777,pC0338,3.5,1,3,Tetiana,,,,,,,,,,,,,,,,,
P06012778,P06012779,P06012780,P06012781,pC0337,3.5,1,3,Tetiana,old flower,,,,,,,,,,,,,,,,
P06012782,P06012783,P06012784,P06012785,pC0375,3.5,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06012786,P06012787,P06012788,P06012789,pC0334,3,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06012790,P06012791,P06012792,P06012793,pC0368,3.5,1,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06012794,P06012795,P06012796,P06012797,pC0330,3,1,3,Tetiana,,,,,,,,,,,,,,,,,
